frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,modbus.func_code,modbus.reference_num,modbus.word_cnt
1771419247.081712000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419247.082269000,10.0.2.22,192.168.100.28,502,50516,3,,
1771419247.093244000,192.168.100.28,10.0.2.22,50516,502,1,1,
1771419247.093709000,10.0.2.22,192.168.100.28,502,50516,1,,
1771419247.988290000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419247.988846000,10.0.2.22,192.168.100.28,502,50516,3,,
1771419247.998994000,192.168.100.28,10.0.2.22,50516,502,1,1,
1771419247.999890000,10.0.2.22,192.168.100.28,502,50516,1,,
1771419248.902700000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419248.903163000,10.0.2.22,192.168.100.28,502,50516,3,,
1771419248.914136000,192.168.100.28,10.0.2.22,50516,502,1,1,
1771419248.914713000,10.0.2.22,192.168.100.28,502,50516,1,,
1771419249.803903000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419249.804261000,10.0.2.22,192.168.100.28,502,50516,3,,
1771419249.815065000,192.168.100.28,10.0.2.22,50516,502,1,1,
1771419249.815464000,10.0.2.22,192.168.100.28,502,50516,1,,
1771419250.711302000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419250.711752000,10.0.2.22,192.168.100.28,502,50516,3,,
1771419250.722814000,192.168.100.28,10.0.2.22,50516,502,1,1,
1771419250.723177000,10.0.2.22,192.168.100.28,502,50516,1,,
1771419251.615186000,192.168.100.28,10.0.2.22,50516,502,3,2,2
1771419251.615677000,10.0.2.22,192.168.100.28,502,50516,3,,
