frame.time_epoch,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.flags
1771419247.081712000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419247.082269000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419247.082426000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419247.093244000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419247.093709000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419247.135789000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419247.988290000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419247.988846000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419247.989240000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419247.998994000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419247.999890000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419248.039608000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419248.902700000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419248.903163000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419248.903319000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419248.914136000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419248.914713000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419248.952162000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419249.803903000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419249.804261000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419249.804411000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419249.815065000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419249.815464000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419249.854969000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419250.711302000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419250.711752000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419250.712003000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419250.722814000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419250.723177000,10.0.2.22,502,192.168.100.28,50516,0x0018
1771419250.762776000,192.168.100.28,50516,10.0.2.22,502,0x0010
1771419251.615186000,192.168.100.28,50516,10.0.2.22,502,0x0018
1771419251.615677000,10.0.2.22,502,192.168.100.28,50516,0x0018
