Date,Size,Type,Mode,UID,GID,Meta,File Name
0000-00-00T00:00:00Z,512,..c.,d/drwxrwxrwx,0,0,21,"/offset_10240/EFI/BOOT"
0000-00-00T00:00:00Z,512,..c.,d/drwxrwxrwx,0,0,23,"/offset_10240/EFI/ubuntu"
0000-00-00T00:00:00Z,0,..c.,r/rrwxrwxrwx,0,0,3,"/offset_10240/UEFI        (Volume Label Entry)"
0000-00-00T00:00:00Z,966664,..c.,r/rrwxrwxrwx,0,0,37,"/offset_10240/EFI/BOOT/BOOTX64.EFI"
0000-00-00T00:00:00Z,88344,..c.,r/rrwxrwxrwx,0,0,39,"/offset_10240/EFI/BOOT/fbx64.efi"
0000-00-00T00:00:00Z,512,..c.,d/drwxrwxrwx,0,0,4,"/offset_10240/EFI"
0000-00-00T00:00:00Z,856280,..c.,r/rrwxrwxrwx,0,0,41,"/offset_10240/EFI/BOOT/mmx64.efi"
0000-00-00T00:00:00Z,2602888,..c.,r/rrwxrwxrwx,0,0,54,"/offset_10240/EFI/ubuntu/grubx64.efi"
0000-00-00T00:00:00Z,966664,..c.,r/rrwxrwxrwx,0,0,56,"/offset_10240/EFI/ubuntu/shimx64.efi"
0000-00-00T00:00:00Z,856280,..c.,r/rrwxrwxrwx,0,0,58,"/offset_10240/EFI/ubuntu/mmx64.efi"
0000-00-00T00:00:00Z,108,..c.,r/rrwxrwxrwx,0,0,59,"/offset_10240/EFI/ubuntu/BOOTX64.CSV"
0000-00-00T00:00:00Z,117,..c.,r/rrwxrwxrwx,0,0,61,"/offset_10240/EFI/ubuntu/grub.cfg"
2025-12-15T23:00:00Z,512,.a..,d/drwxrwxrwx,0,0,21,"/offset_10240/EFI/BOOT"
2025-12-15T23:00:00Z,512,.a..,d/drwxrwxrwx,0,0,23,"/offset_10240/EFI/ubuntu"
2025-12-15T23:00:00Z,0,.a..,r/rrwxrwxrwx,0,0,3,"/offset_10240/UEFI        (Volume Label Entry)"
2025-12-15T23:00:00Z,512,.a..,d/drwxrwxrwx,0,0,4,"/offset_10240/EFI"
2025-12-16T09:52:22Z,0,m..b,r/rrwxrwxrwx,0,0,3,"/offset_10240/UEFI        (Volume Label Entry)"
2025-12-16T09:52:23Z,512,...b,d/drwxrwxrwx,0,0,21,"/offset_10240/EFI/BOOT"
2025-12-16T09:52:23Z,512,...b,d/drwxrwxrwx,0,0,4,"/offset_10240/EFI"
2025-12-16T09:52:30Z,512,m...,d/drwxrwxrwx,0,0,21,"/offset_10240/EFI/BOOT"
2025-12-16T09:52:30Z,512,m..b,d/drwxrwxrwx,0,0,23,"/offset_10240/EFI/ubuntu"
2025-12-16T09:52:30Z,966664,m...,r/rrwxrwxrwx,0,0,37,"/offset_10240/EFI/BOOT/BOOTX64.EFI"
2025-12-16T09:52:30Z,88344,m...,r/rrwxrwxrwx,0,0,39,"/offset_10240/EFI/BOOT/fbx64.efi"
2025-12-16T09:52:30Z,512,m...,d/drwxrwxrwx,0,0,4,"/offset_10240/EFI"
2025-12-16T09:52:30Z,856280,m...,r/rrwxrwxrwx,0,0,41,"/offset_10240/EFI/BOOT/mmx64.efi"
2025-12-16T09:52:30Z,2602888,m...,r/rrwxrwxrwx,0,0,54,"/offset_10240/EFI/ubuntu/grubx64.efi"
2025-12-16T09:52:30Z,966664,m...,r/rrwxrwxrwx,0,0,56,"/offset_10240/EFI/ubuntu/shimx64.efi"
2025-12-16T09:52:30Z,856280,m...,r/rrwxrwxrwx,0,0,58,"/offset_10240/EFI/ubuntu/mmx64.efi"
2025-12-16T09:52:30Z,108,m...,r/rrwxrwxrwx,0,0,59,"/offset_10240/EFI/ubuntu/BOOTX64.CSV"
2025-12-16T09:52:30Z,117,m...,r/rrwxrwxrwx,0,0,61,"/offset_10240/EFI/ubuntu/grub.cfg"
2025-12-16T09:52:31Z,966664,...b,r/rrwxrwxrwx,0,0,37,"/offset_10240/EFI/BOOT/BOOTX64.EFI"
2025-12-16T09:52:31Z,88344,...b,r/rrwxrwxrwx,0,0,39,"/offset_10240/EFI/BOOT/fbx64.efi"
2025-12-16T09:52:31Z,856280,...b,r/rrwxrwxrwx,0,0,41,"/offset_10240/EFI/BOOT/mmx64.efi"
2025-12-16T09:52:31Z,2602888,...b,r/rrwxrwxrwx,0,0,54,"/offset_10240/EFI/ubuntu/grubx64.efi"
2025-12-16T09:52:31Z,966664,...b,r/rrwxrwxrwx,0,0,56,"/offset_10240/EFI/ubuntu/shimx64.efi"
2025-12-16T09:52:31Z,856280,...b,r/rrwxrwxrwx,0,0,58,"/offset_10240/EFI/ubuntu/mmx64.efi"
2025-12-16T09:52:31Z,108,...b,r/rrwxrwxrwx,0,0,59,"/offset_10240/EFI/ubuntu/BOOTX64.CSV"
2025-12-16T09:52:31Z,117,...b,r/rrwxrwxrwx,0,0,61,"/offset_10240/EFI/ubuntu/grub.cfg"
2026-01-14T23:00:00Z,966664,.a..,r/rrwxrwxrwx,0,0,37,"/offset_10240/EFI/BOOT/BOOTX64.EFI"
2026-01-14T23:00:00Z,88344,.a..,r/rrwxrwxrwx,0,0,39,"/offset_10240/EFI/BOOT/fbx64.efi"
2026-01-14T23:00:00Z,856280,.a..,r/rrwxrwxrwx,0,0,41,"/offset_10240/EFI/BOOT/mmx64.efi"
2026-01-14T23:00:00Z,2602888,.a..,r/rrwxrwxrwx,0,0,54,"/offset_10240/EFI/ubuntu/grubx64.efi"
2026-01-14T23:00:00Z,966664,.a..,r/rrwxrwxrwx,0,0,56,"/offset_10240/EFI/ubuntu/shimx64.efi"
2026-01-14T23:00:00Z,856280,.a..,r/rrwxrwxrwx,0,0,58,"/offset_10240/EFI/ubuntu/mmx64.efi"
2026-01-14T23:00:00Z,108,.a..,r/rrwxrwxrwx,0,0,59,"/offset_10240/EFI/ubuntu/BOOTX64.CSV"
2026-01-14T23:00:00Z,117,.a..,r/rrwxrwxrwx,0,0,61,"/offset_10240/EFI/ubuntu/grub.cfg"
