iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap0deb35ad-21,tap0deb35ad-21_20260313_090757Z_120s.pcap,63858,2026-03-13T09:09:57Z,1773392877.643610,2026-03-13T09:07:57Z,1773392996.745745,2026-03-13T09:09:56Z,532
tap0deb35ad-21,tap0deb35ad-21_20260313_090957Z_120s.pcap,61279,2026-03-13T09:11:57Z,1773392997.786106,2026-03-13T09:09:57Z,1773393117.241009,2026-03-13T09:11:57Z,510
tap0deb35ad-21,tap0deb35ad-21_20260313_091157Z_120s.pcap,62781,2026-03-13T09:13:57Z,1773393118.282035,2026-03-13T09:11:58Z,1773393237.259125,2026-03-13T09:13:57Z,523
tap0deb35ad-21,tap0deb35ad-21_20260313_091357Z_120s.pcap,64302,2026-03-13T09:15:57Z,1773393238.300330,2026-03-13T09:13:58Z,1773393357.383719,2026-03-13T09:15:57Z,535
tap0deb35ad-21,tap0deb35ad-21_20260313_091557Z_120s.pcap,71097,2026-03-13T09:17:57Z,1773393358.428114,2026-03-13T09:15:58Z,1773393477.786233,2026-03-13T09:17:57Z,592
tap0deb35ad-21,tap0deb35ad-21_20260313_091758Z_120s.pcap,68520,2026-03-13T09:19:57Z,1773393478.633389,2026-03-13T09:17:58Z,1773393597.898242,2026-03-13T09:19:57Z,571
tap0deb35ad-21,tap0deb35ad-21_20260313_091958Z_120s.pcap,66101,2026-03-13T09:21:58Z,1773393598.866604,2026-03-13T09:19:58Z,1773393717.948072,2026-03-13T09:21:57Z,550
tap0deb35ad-21,tap0deb35ad-21_20260313_092158Z_120s.pcap,64957,2026-03-13T09:23:58Z,1773393718.890119,2026-03-13T09:21:58Z,1773393837.741799,2026-03-13T09:23:57Z,541
tap0deb35ad-21,tap0deb35ad-21_20260313_092358Z_120s.pcap,63128,2026-03-13T09:25:58Z,1773393838.782162,2026-03-13T09:23:58Z,1773393958.170797,2026-03-13T09:25:58Z,526
tap0deb35ad-21,tap0deb35ad-21_20260313_092558Z_120s.pcap,61395,2026-03-13T09:27:58Z,1773393959.213098,2026-03-13T09:25:59Z,1773394078.274816,2026-03-13T09:27:58Z,511
tap0deb35ad-21,tap0deb35ad-21_20260313_092758Z_120s.pcap,62473,2026-03-13T09:29:58Z,1773394079.316172,2026-03-13T09:27:59Z,1773394198.329076,2026-03-13T09:29:58Z,520
tap0deb35ad-21,tap0deb35ad-21_20260313_092959Z_120s.pcap,66015,2026-03-13T09:31:58Z,1773394199.370538,2026-03-13T09:29:59Z,1773394318.755133,2026-03-13T09:31:58Z,550
tap0deb35ad-21,tap0deb35ad-21_20260313_093159Z_120s.pcap,71309,2026-03-13T09:33:59Z,1773394319.607193,2026-03-13T09:31:59Z,1773394438.670286,2026-03-13T09:33:58Z,594
tap0deb35ad-21,tap0deb35ad-21_20260313_093359Z_120s.pcap,67454,2026-03-13T09:35:59Z,1773394439.553329,2026-03-13T09:33:59Z,1773394559.193295,2026-03-13T09:35:59Z,562
tap0deb35ad-21,tap0deb35ad-21_20260313_093559Z_120s.pcap,65688,2026-03-13T09:37:59Z,1773394560.167547,2026-03-13T09:36:00Z,1773394678.573070,2026-03-13T09:37:58Z,547
tap0deb35ad-21,tap0deb35ad-21_20260313_093759Z_120s.pcap,62896,2026-03-13T09:39:59Z,1773394680.509905,2026-03-13T09:38:00Z,1773394799.146650,2026-03-13T09:39:59Z,524
tap0deb35ad-21,tap0deb35ad-21_20260313_093959Z_120s.pcap,65042,2026-03-13T09:41:59Z,1773394800.186716,2026-03-13T09:40:00Z,1773394918.641123,2026-03-13T09:41:58Z,542
tap0deb35ad-21,tap0deb35ad-21_20260313_094159Z_120s.pcap,62050,2026-03-13T09:43:59Z,1773394920.782137,2026-03-13T09:42:00Z,1773395039.328692,2026-03-13T09:43:59Z,517
tap0deb35ad-21,tap0deb35ad-21_20260313_094400Z_120s.pcap,62166,2026-03-13T09:45:59Z,1773395040.369724,2026-03-13T09:44:00Z,1773395159.124765,2026-03-13T09:45:59Z,518
tap0deb35ad-21,tap0deb35ad-21_20260313_094600Z_120s.pcap,61853,2026-03-13T09:48:00Z,1773395161.265164,2026-03-13T09:46:01Z,1773395280.127969,2026-03-13T09:48:00Z,515
tap0deb35ad-21,tap0deb35ad-21_20260313_094800Z_120s.pcap,65823,2026-03-13T09:50:00Z,1773395281.214267,2026-03-13T09:48:01Z,1773395399.409413,2026-03-13T09:49:59Z,548
tap0deb35ad-21,tap0deb35ad-21_20260313_095000Z_120s.pcap,71425,2026-03-13T09:52:00Z,1773395401.551433,2026-03-13T09:50:01Z,1773395520.334207,2026-03-13T09:52:00Z,595
tap0deb35ad-21,tap0deb35ad-21_20260313_095200Z_120s.pcap,68171,2026-03-13T09:54:00Z,1773395521.183578,2026-03-13T09:52:01Z,1773395640.062671,2026-03-13T09:54:00Z,568
