run_id,case_id,fsr_invariants_stable,cpr_stable,edge_state_pattern_stable,comparison_family_match,scenario_drift,aggregate
run_01,case-f9b84046,True,True,True,missing_from_existing_reports,False,
run_02,case-4bd7a2e5,True,True,True,missing_from_existing_reports,False,
run_03,case-d997e30f,True,True,True,missing_from_existing_reports,False,
run_04,case-e51b2792,True,True,True,missing_from_existing_reports,False,
run_05,case-7efda4ef,True,True,True,missing_from_existing_reports,False,
run_06,case-0f9a0a23,True,True,True,missing_from_existing_reports,False,
run_07,case-0baf5deb,True,True,True,missing_from_existing_reports,False,
run_08,case-1f159b69,True,True,True,missing_from_existing_reports,False,
run_09,case-7b45be16,True,True,True,missing_from_existing_reports,False,
run_10,case-11d0a562,True,True,True,missing_from_existing_reports,False,
AGGREGATE,N=10,10/10,10/10,10/10,missing_from_current_campaign,0/10,
